LOC, RR retired_uops, loads_retired_uops, LLC_misses, LLC_references, local_accesses, remote_accesses, inter_socket1, inter_socket2, context_switches, number_of_threads, result
1, 0, 2732283323, 471443036, 16420, 2389101, 40, 61, 43, 16, 0, 2, 0
1, 0, 6497848953, 1892880744, 2775, 34873047, 1002, 25, 140, 1534, 0, 3, 0
1, 0, 11890274274, 3496498918, 1183, 91864438, 1232, 1123, 124, 349, 0, 4, 0
1, 0, 12970315120, 3602737656, 1311, 99289903, 1324, 149, 4, 858, 0, 5, 0
1, 0, 18525131908, 5124959122, 1689, 109782872, 1287, 999, 21, 165, 0, 6, 0
1, 0, 19329680762, 5540309746, 7372, 128593788, 4128, 145, 48, 133, 0, 7, 0
1, 0, 21396028371, 5513630793, 1734, 132215951, 1275, 238, 367, 1077, 0, 8, 0
1, 0, 25537867185, 7225279547, 2365, 166531371, 1644, 1044, 364, 620, 0, 9, 0
1, 0, 27450273081, 7511339258, 1780, 178623031, 810293, 1361, 180, 395, 0, 10, 0
1, 0, 30647311622, 8808956822, 2511, 224345763, 1063, 181528, 595, 581, 0, 11, 0
1, 0, 37335709285, 10750158335, 3964, 293636960, 2236, 64845, 1928, 1189, 0, 12, 0
1, 0, 37367239778, 10492292543, 2894, 277697405, 63682, 2550, 73459, 530376, 0, 13, 0
1, 0, 32766084069, 10278553769, 7930233, 278351522, 2686183, 474310, 53036, 2112364, 0, 14, 0
1, 0, 29598817069, 9534259732, 30288595, 313923521, 3074019, 8443463, 1276695, 9788290, 0, 15, 0
1, 0, 29208418221, 8720559884, 39161240, 307971275, 3945009, 8140700, 2076681, 15875729, 0, 16, 0
1, 0, 32243048422, 9886342604, 40386135, 318823646, 4240081, 8413228, 1988541, 16305748, 0, 17, 0
1, 0, 30277153689, 9547739862, 59939883, 360234880, 4669880, 11306466, 2324040, 23166299, 0, 18, 0
1, 0, 36856929466, 11050440979, 54867173, 375359791, 4494441, 10569089, 2196439, 22539503, 0, 19, 0
1, 0, 37455793150, 11585778599, 49730669, 392572835, 4771347, 9777062, 2207265, 19857092, 0, 20, 0
1, 0, 42044560460, 13114293938, 59943161, 366412002, 5824527, 9759180, 2083433, 24415992, 0, 21, 0
1, 0, 43933406593, 13575716383, 59248243, 420457015, 5757609, 10809508, 2133080, 24820239, 0, 22, 0
1, 0, 46319706239, 14392535193, 64506090, 406727366, 6436896, 10992726, 2315131, 27527254, 0, 23, 0
0, 1, 2430778194, 439922686, 493, 1889788, 1262, 4, 0, 212, 0, 2, 0
0, 1, 4384589306, 1336029930, 17760901, 53750653, 5906, 12130, 3663, 6132565, 0, 3, 0
0, 1, 7779887325, 2411919446, 27523931, 88444045, 5035, 15594, 664323, 7159911, 0, 4, 0
0, 1, 11341485452, 3286454099, 19860974, 67357963, 1430824, 5402426, 1602254, 7637197, 0, 5, 0
0, 1, 15156534419, 4845413940, 22068995, 106258879, 1514204, 5989824, 1604235, 6960758, 0, 6, 0
0, 1, 13534283201, 4167850455, 41677453, 139508997, 1465932, 6115435, 3856797, 10542736, 0, 7, 0
0, 1, 14092034747, 4352157690, 44100825, 126905234, 1304214, 11500952, 3922177, 10836346, 0, 8, 0
0, 1, 18880246484, 6000392165, 47520809, 145570807, 1626824, 12166830, 3920121, 9123542, 0, 9, 0
0, 1, 20864763884, 6289972892, 52306369, 182478305, 2114563, 9283188, 4646453, 10461577, 0, 10, 0
0, 1, 22730102092, 6755754702, 45892317, 170992661, 1906800, 11459568, 4272226, 14553698, 0, 11, 0
0, 1, 27884129275, 8747836274, 47752432, 194101903, 2197173, 11640498, 4086377, 11330431, 0, 12, 0
0, 1, 23827464303, 7476948310, 67526285, 224902350, 2496986, 17364130, 5033080, 15068159, 0, 13, 0
0, 1, 28274347910, 8904272825, 71295642, 240719261, 1945170, 14091531, 5126549, 12265080, 0, 14, 0
0, 1, 28795441328, 9208102885, 72576435, 252474077, 2920283, 16755924, 5133471, 18383053, 0, 15, 0
0, 1, 27303811981, 8262662006, 79022428, 287423503, 2756125, 15743681, 5935884, 17193958, 0, 16, 0
0, 1, 31090460527, 9458428375, 83224713, 320828837, 2984200, 18845026, 6185523, 19065324, 0, 17, 0
0, 1, 29284639251, 8953591273, 90455874, 345440041, 3080814, 22448411, 6891997, 18705538, 0, 18, 0
0, 1, 33326878526, 9995474415, 91686659, 353818450, 3154545, 18492111, 6178192, 20215133, 0, 19, 0
0, 1, 41644934888, 12308545241, 90833339, 397665561, 2871832, 18941749, 7153005, 18383119, 0, 20, 0
0, 1, 34168710859, 10465397353, 95801824, 414680217, 3301667, 20323499, 7203440, 23048263, 0, 21, 0
0, 1, 38594774450, 12194739024, 98945601, 434974116, 3176568, 19098573, 7315208, 22000794, 0, 22, 0
0, 1, 42122251345, 12187817705, 108663327, 457866982, 3367107, 22073167, 7490551, 21717372, 0, 23, 0
